date,layer,corridor,asset,venues,pairs,volume_24h_usd,depth_2pct_usd,median_spread_pct,unknown_venues,source_scope,api_pair_observed,observation_status,aggregation_assumption
2026-07-08,tokenized,BRL,USDC,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,BRL,USDT,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,CLP,ALL_FRICTIONLESS,,,,,,,api_only,False,layer_not_collected,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,tokenized,CLP,USDC,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,CLP,USDT,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,COP,ALL_FRICTIONLESS,,,,,,,api_only,False,layer_not_collected,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,tokenized,COP,USDC,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,COP,USDT,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,EGP,ALL_FRICTIONLESS,,,,,,,api_only,False,layer_not_collected,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,tokenized,EGP,USDC,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,EGP,USDT,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,EUR,ALL_FRICTIONLESS,,,,,,,api_only,False,layer_not_collected,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,tokenized,EUR,USDC,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,EUR,USDT,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,GHS,ALL_FRICTIONLESS,,,,,,,api_only,False,layer_not_collected,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,tokenized,GHS,USDC,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,GHS,USDT,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,IDR,ALL_FRICTIONLESS,,,,,,,api_only,False,layer_not_collected,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,tokenized,IDR,USDC,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,IDR,USDT,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,INR,ALL_FRICTIONLESS,,,,,,,api_only,False,layer_not_collected,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,tokenized,INR,USDC,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,INR,USDT,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,KES,ALL_FRICTIONLESS,,,,,,,api_only,False,layer_not_collected,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,tokenized,KES,USDC,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,KES,USDT,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,MXN,ALL_FRICTIONLESS,,,,,,,api_only,False,layer_not_collected,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,tokenized,MXN,USDC,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,MXN,USDT,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,MYR,ALL_FRICTIONLESS,,,,,,,api_only,False,layer_not_collected,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,tokenized,MYR,USDC,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,MYR,USDT,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,NGN,ALL_FRICTIONLESS,,,,,,,api_only,False,layer_not_collected,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,tokenized,NGN,USDC,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,NGN,USDT,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,PEN,ALL_FRICTIONLESS,,,,,,,api_only,False,layer_not_collected,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,tokenized,PEN,USDC,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,PEN,USDT,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,PHP,ALL_FRICTIONLESS,,,,,,,api_only,False,layer_not_collected,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,tokenized,PHP,USDC,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,PHP,USDT,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,PKR,ALL_FRICTIONLESS,,,,,,,api_only,False,layer_not_collected,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,tokenized,PKR,USDC,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,PKR,USDT,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,SGD,ALL_FRICTIONLESS,,,,,,,api_only,False,layer_not_collected,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,tokenized,SGD,USDC,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,SGD,USDT,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,THB,ALL_FRICTIONLESS,,,,,,,api_only,False,layer_not_collected,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,tokenized,THB,USDC,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,THB,USDT,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,TRY,ALL_FRICTIONLESS,,,,,,,api_only,False,layer_not_collected,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,tokenized,TRY,USDC,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,TRY,USDT,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,UAH,ALL_FRICTIONLESS,,,,,,,api_only,False,layer_not_collected,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,tokenized,UAH,USDC,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,UAH,USDT,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,VND,ALL_FRICTIONLESS,,,,,,,api_only,False,layer_not_collected,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,tokenized,VND,USDC,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,VND,USDT,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,ZAR,ALL_FRICTIONLESS,,,,,,,api_only,False,layer_not_collected,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-07-08,tokenized,ZAR,USDC,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-07-08,tokenized,ZAR,USDT,,,,,,,api_only,False,layer_not_collected,asset_specific
2026-08-04,fiat,ARS,ALL_FRICTIONLESS,2.0,2.0,4177266.0,169445.76908453813,0.041132999999999996,0.0,api_only,True,observed_depth,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-08-04,fiat,ARS,USDC,0.0,0.0,,,,,api_only,False,not_observed_in_api,asset_specific
2026-08-04,fiat,ARS,USDT,2.0,2.0,4177266.0,169445.76908453813,0.041132999999999996,0.0,api_only,True,observed_depth,asset_specific
2026-08-04,fiat,BRL,ALL_FRICTIONLESS,14.0,14.0,194255138.0,11189372.978535809,0.034387,5.0,api_only,True,observed_depth,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-08-04,fiat,BRL,USDC,6.0,6.0,63478672.0,2885226.6301402664,0.0548525,3.0,api_only,True,observed_depth,asset_specific
2026-08-04,fiat,BRL,USDT,8.0,8.0,130776466.0,8304146.348395543,0.0139215,2.0,api_only,True,observed_depth,asset_specific
2026-08-04,fiat,CLP,ALL_FRICTIONLESS,2.0,2.0,1040235.0,673733.7247217915,0.29963799999999996,2.0,api_only,True,observed_depth,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-08-04,fiat,CLP,USDC,1.0,1.0,483455.0,365575.779540092,0.37309,1.0,api_only,True,observed_depth,asset_specific
2026-08-04,fiat,CLP,USDT,1.0,1.0,556780.0,308157.9451816994,0.226186,1.0,api_only,True,observed_depth,asset_specific
2026-08-04,fiat,COP,ALL_FRICTIONLESS,0.0,0.0,,,,,api_only,False,not_observed_in_api,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-08-04,fiat,COP,USDC,0.0,0.0,,,,,api_only,False,not_observed_in_api,asset_specific
2026-08-04,fiat,COP,USDT,0.0,0.0,,,,,api_only,False,not_observed_in_api,asset_specific
2026-08-04,fiat,EGP,ALL_FRICTIONLESS,0.0,0.0,,,,,api_only,False,not_observed_in_api,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-08-04,fiat,EGP,USDC,0.0,0.0,,,,,api_only,False,not_observed_in_api,asset_specific
2026-08-04,fiat,EGP,USDT,0.0,0.0,,,,,api_only,False,not_observed_in_api,asset_specific
2026-08-04,fiat,EUR,ALL_FRICTIONLESS,30.0,30.0,479289644.97999996,144180094.87168956,0.011998249999999998,18.0,api_only,True,observed_depth,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-08-04,fiat,EUR,USDC,18.0,18.0,330492256.97999996,55932199.7828389,0.011509,12.0,api_only,True,observed_depth,asset_specific
2026-08-04,fiat,EUR,USDT,12.0,12.0,148797388.0,88247895.08885065,0.012487499999999999,6.0,api_only,True,observed_depth,asset_specific
2026-08-04,fiat,GHS,ALL_FRICTIONLESS,0.0,0.0,,,,,api_only,False,not_observed_in_api,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-08-04,fiat,GHS,USDC,0.0,0.0,,,,,api_only,False,not_observed_in_api,asset_specific
2026-08-04,fiat,GHS,USDT,0.0,0.0,,,,,api_only,False,not_observed_in_api,asset_specific
2026-08-04,fiat,IDR,ALL_FRICTIONLESS,8.0,8.0,15563417.0,2030437.089511499,0.0222885,4.0,api_only,True,observed_depth,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-08-04,fiat,IDR,USDC,4.0,4.0,368071.0,283983.959967769,0.022289,2.0,api_only,True,observed_depth,asset_specific
2026-08-04,fiat,IDR,USDT,4.0,4.0,15195346.0,1746453.12954373,0.022288,2.0,api_only,True,observed_depth,asset_specific
2026-08-04,fiat,INR,ALL_FRICTIONLESS,10.0,10.0,3917181.89,2306034.8179514967,0.20771974999999998,9.0,api_only,True,observed_depth,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-08-04,fiat,INR,USDC,4.0,4.0,84739.89000000001,21850.39728942814,0.4034655,3.0,api_only,True,observed_depth,asset_specific
2026-08-04,fiat,INR,USDT,6.0,6.0,3832442.0,2284184.4206620688,0.011974,6.0,api_only,True,observed_depth,asset_specific
2026-08-04,fiat,KES,ALL_FRICTIONLESS,0.0,0.0,,,,,api_only,False,not_observed_in_api,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-08-04,fiat,KES,USDC,0.0,0.0,,,,,api_only,False,not_observed_in_api,asset_specific
2026-08-04,fiat,KES,USDT,0.0,0.0,,,,,api_only,False,not_observed_in_api,asset_specific
2026-08-04,fiat,MXN,ALL_FRICTIONLESS,3.0,3.0,4580849.0,654160.672881241,0.047223749999999995,0.0,api_only,True,observed_depth,upper_bound_assuming_frictionless_USDT_USDC_conversion
2026-08-04,fiat,MXN,USDC,1.0,1.0,142929.0,120872.67190529214,0.057703,0.0,api_only,True,observed_depth,asset_specific
2026-08-04,fiat,MXN,USDT,2.0,2.0,4437920.0,533288.0009759489,0.0367445,0.0,api_only,True,observed_depth,asset_specific
