layer,corridor,asset,n_days,median,p10,p90,min,max
fiat,IDR,USDT,54,2097887.046021904,1306044.9691623978,2976980.8842559867,731734.5906344475,3543568.3936209134
fiat,INR,ALL_FRICTIONLESS,54,2891882.703774398,2003725.9569083743,3673409.7341865897,11751.799388396988,5321693.600404625
fiat,INR,USDC,54,22445.390691703717,14944.030636400325,33616.33562722277,2888.302356762651,48210.398724341154
fiat,INR,USDT,53,2891201.764780168,2033017.3376080925,3651516.608185185,170728.63055644793,5304620.850931338
fiat,MXN,ALL_FRICTIONLESS,53,641945.1122205355,471478.08522637736,887075.9829431329,350038.83853864286,1408410.9732092952
fiat,MXN,USDC,53,107449.99589166912,93850.76434742665,127538.84282494956,87369.21649466488,157039.2413088655
fiat,MXN,USDT,53,527590.1431811131,358075.9636570316,771090.2598318444,256979.75265882548,1293205.6933658049
fiat,NGN,ALL_FRICTIONLESS,1,94578.27074281505,94578.27074281505,94578.27074281505,94578.27074281505,94578.27074281505
fiat,NGN,USDC,1,1275.459929968409,1275.459929968409,1275.459929968409,1275.459929968409,1275.459929968409
fiat,NGN,USDT,1,93302.81081284664,93302.81081284664,93302.81081284664,93302.81081284664,93302.81081284664
fiat,PHP,ALL_FRICTIONLESS,53,9135914.607830916,4948058.171126077,11626071.203871675,3144439.30852366,11949532.326551434
fiat,PHP,USDC,53,4721383.982822239,1505966.1938848714,4907688.700551415,832017.942482728,5148823.982458709
fiat,PHP,USDT,52,5878729.564702608,2001587.4399354444,6793364.479563325,1315269.7315691295,6948778.791081824
fiat,SGD,ALL_FRICTIONLESS,54,2096889.217497765,1649622.9080211401,2558368.926891554,1203653.7356369318,3004609.648936916
fiat,SGD,USDC,54,1113158.7376604418,746842.5513859177,1392123.7090092013,556551.5226262388,1587550.0510496164
fiat,SGD,USDT,54,994395.8323077543,815786.6835801908,1190883.057511162,485754.1775764345,1417059.5978872995
fiat,THB,ALL_FRICTIONLESS,54,2811098.1997894915,1946167.6577503881,3668255.1764685097,1528109.6937662582,4413107.81919009
fiat,THB,USDC,54,315023.9277598002,192448.31819279183,561785.3639857796,111312.73102348647,1415939.1527340645
fiat,THB,USDT,54,2459018.6347206496,1611702.6490047297,3318484.01015331,1242306.6018899346,4142919.0162085323
fiat,TRY,ALL_FRICTIONLESS,54,16412973.847436707,11316724.849574033,20364419.68634621,4609472.82513322,26588930.84241759
fiat,TRY,USDC,54,1292997.4382344189,768815.7343019171,2069281.6213025984,111327.9150220696,2503830.711847027
fiat,TRY,USDT,54,14756713.15948082,10435946.38344497,19267826.51278478,4498144.910111151,25178228.738569904
fiat,UAH,ALL_FRICTIONLESS,53,19714.64169570275,17841.0169779726,21590.904171189526,15668.005922821474,69925.79173144109
fiat,UAH,USDT,53,19714.64169570275,17841.0169779726,21590.904171189526,15668.005922821474,69925.79173144109
fiat,VND,ALL_FRICTIONLESS,1,50637.66298549673,50637.66298549673,50637.66298549673,50637.66298549673,50637.66298549673
fiat,VND,USDT,1,50637.66298549673,50637.66298549673,50637.66298549673,50637.66298549673,50637.66298549673
fiat,ZAR,ALL_FRICTIONLESS,54,1361385.8650896267,753210.4715303403,2637838.9797824267,378848.98637758486,3881038.3515196075
fiat,ZAR,USDC,54,162826.07938063194,121017.86440564405,200752.5618518782,108251.0340347389,221320.17625601863
fiat,ZAR,USDT,54,1191335.4277937151,622410.8122900823,2480880.3384808884,254701.64850098034,3706042.8766065966
tokenized,EUR,ALL_FRICTIONLESS,53,150181.0538594826,140405.13049611056,182639.16815801695,138174.55082321825,184714.27713246766
tokenized,EUR,USDC,53,147913.14019322314,138880.11812874762,180256.5526391256,137559.71407006696,182101.50754615074
tokenized,EUR,USDT,53,1540.3577661060476,275.5862298787277,2657.129348038323,273.57340455528754,2912.322929023432
tokenized,IDR,ALL_FRICTIONLESS,43,477.0801939262544,473.54038659887567,482.45706423072306,471.6727248377269,484.28096747164057
tokenized,IDR,USDC,43,477.0801939262544,473.54038659887567,482.45706423072306,471.6727248377269,484.28096747164057
tokenized,MXN,ALL_FRICTIONLESS,7,204.0740298938695,202.1994060757543,206.18022406105712,201.11129567575517,207.4631785652933
tokenized,MXN,USDC,7,204.0740298938695,202.1994060757543,206.18022406105712,201.11129567575517,207.4631785652933
tokenized,NGN,ALL_FRICTIONLESS,7,514.9317573054848,508.1341145847037,519.6990357441456,504.4340880612664,519.8928939816334
tokenized,NGN,USDC,7,514.9317573054848,508.1341145847037,519.6990357441456,504.4340880612664,519.8928939816334
tokenized,SGD,ALL_FRICTIONLESS,53,969.1711580620226,713.6587621348845,1011.9873433589906,251.2511203184458,1062.3437633678682
tokenized,SGD,USDC,53,969.1711580620226,713.6587621348845,1011.9873433589906,251.2511203184458,1062.3437633678682
tokenized,ZAR,ALL_FRICTIONLESS,36,496.84375570994024,421.4860915868545,3893.8459542085384,24.09755459478077,4315.511093762369
tokenized,ZAR,USDC,36,496.84375570994024,421.4860915868545,3893.8459542085384,24.09755459478077,4315.511093762369
